epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,876.173,0.99761,3.27532,0.01691,0.61452,0.50681,0.56099,0.45413,0.98271,2.19976,0.01836,0.00999532,0.00333177,0.00999532,0.00333177,0.00999532,0.00333177,0.00999532,0.00333177
2,1440.05,1.03307,1.30869,0.0176,0.61883,0.61909,0.57284,0.44045,1.15585,3.1837,0.02252,0.0197974,0.00659912,0.0197974,0.00659912,0.0197974,0.00659912,0.0197974,0.00659912
3,2023.65,1.15028,1.37178,0.02004,0.60456,0.6194,0.54297,0.41539,1.20173,2.0151,0.02368,0.0294014,0.00980047,0.0294014,0.00980047,0.0294014,0.00980047,0.0294014,0.00980047
4,2528.86,1.14253,1.27567,0.01971,0.67139,0.64697,0.58773,0.46495,1.16164,3.65287,0.02245,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3041.58,1.09641,1.17169,0.01853,0.70025,0.54991,0.61432,0.49808,1.11905,2.31253,0.02116,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3573.16,1.0648,1.10193,0.01786,0.7428,0.68493,0.64946,0.53837,1.02713,1.64031,0.01865,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4091.35,1.04073,1.04488,0.01739,0.70204,0.71004,0.65243,0.54718,1.01081,1.9164,0.01842,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4621.38,1.01877,1.01999,0.01702,0.8223,0.64126,0.68429,0.56759,0.97019,2.08667,0.01768,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5163.53,1.00701,0.9862,0.01667,0.75628,0.70896,0.67313,0.57143,0.96256,2.02568,0.01737,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5682.88,0.99092,0.95195,0.01642,0.7554,0.73877,0.69075,0.59117,0.94627,1.82457,0.01665,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6182.92,0.98319,0.93773,0.01614,0.77197,0.61263,0.69097,0.59659,0.91944,1.94652,0.01655,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6677.42,0.97243,0.91319,0.01606,0.74274,0.75553,0.69711,0.60092,0.90814,1.5587,0.01639,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7235.49,0.96486,0.90705,0.01593,0.76002,0.61692,0.69059,0.60118,0.89753,1.76367,0.0156,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7727.61,0.96072,0.89008,0.01579,0.79032,0.7331,0.70042,0.60954,0.89157,1.57694,0.01586,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8217.41,0.9533,0.88771,0.01567,0.77216,0.74617,0.70213,0.61233,0.88188,1.61017,0.01548,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8712.95,0.94707,0.8671,0.01554,0.7539,0.75688,0.70047,0.61288,0.87982,1.8477,0.01515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9210.35,0.94408,0.86581,0.0155,0.77204,0.74913,0.70738,0.6192,0.88557,1.83752,0.01524,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9691.63,0.93735,0.84528,0.01539,0.77027,0.75222,0.71253,0.62206,0.88279,1.76328,0.01522,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10139,0.93651,0.84145,0.01531,0.76758,0.75819,0.71673,0.62664,0.87254,1.76493,0.01506,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10582.3,0.92597,0.82691,0.01512,0.78236,0.74709,0.71247,0.6241,0.86846,1.71508,0.01488,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,11025.3,0.91969,0.82375,0.01499,0.77558,0.75432,0.71107,0.62292,0.86774,1.69213,0.01481,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11549.1,0.9242,0.81966,0.01512,0.76279,0.76004,0.7105,0.62192,0.86781,1.66317,0.01483,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,12104.2,0.9154,0.82035,0.01502,0.78335,0.74844,0.71183,0.6234,0.86585,1.6339,0.01478,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,12661.7,0.90921,0.80288,0.0148,0.78954,0.74757,0.71265,0.62381,0.86541,1.65171,0.01478,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,13212.7,0.90841,0.79797,0.01479,0.79677,0.74239,0.71145,0.62264,0.86668,1.66318,0.01482,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,13704.4,0.9056,0.7978,0.0147,0.78794,0.74898,0.71168,0.62264,0.86615,1.65254,0.01479,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,14197.1,0.90653,0.79548,0.01471,0.78075,0.7506,0.71232,0.62277,0.86468,1.64607,0.01478,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,14688.5,0.89958,0.78687,0.01457,0.77476,0.75417,0.71179,0.62379,0.86081,1.66921,0.01469,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,15181.3,0.89943,0.78367,0.0145,0.78487,0.74931,0.71291,0.62433,0.85921,1.66041,0.01467,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,15673.4,0.89192,0.77369,0.01444,0.78127,0.75253,0.71292,0.62444,0.85928,1.64877,0.01466,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,16164.2,0.89065,0.77428,0.01436,0.77421,0.75594,0.71243,0.62506,0.8601,1.65668,0.01463,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,16656.1,0.88762,0.76361,0.01436,0.77404,0.75762,0.71251,0.62463,0.85878,1.65057,0.01462,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17147.9,0.88487,0.7636,0.01436,0.78095,0.75429,0.71398,0.62501,0.85831,1.63745,0.01459,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17640.1,0.87758,0.75093,0.01421,0.78856,0.75442,0.71425,0.62602,0.85635,1.62779,0.01457,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,18132.8,0.88365,0.7535,0.01429,0.7814,0.7568,0.71442,0.62649,0.85626,1.63517,0.01458,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18627.8,0.88101,0.74588,0.0142,0.77969,0.75936,0.71476,0.62694,0.85295,1.61252,0.0145,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,19135.7,0.877,0.73913,0.01412,0.77495,0.76056,0.71478,0.628,0.85162,1.60742,0.01449,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19643.7,0.87544,0.72896,0.01412,0.78313,0.75592,0.71514,0.62905,0.85198,1.59546,0.0145,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20151.9,0.87034,0.72408,0.01407,0.79304,0.75265,0.71631,0.62946,0.85309,1.59634,0.01452,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20657.8,0.86771,0.72398,0.01397,0.78781,0.75821,0.71675,0.63,0.85186,1.59913,0.0145,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21165.6,0.86282,0.72301,0.01396,0.79441,0.75387,0.71788,0.63092,0.85023,1.59018,0.01448,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,21673,0.86102,0.71331,0.01386,0.79379,0.75516,0.71779,0.63074,0.84836,1.58499,0.01445,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,22182.7,0.85877,0.71622,0.01382,0.79553,0.75532,0.72017,0.63215,0.8479,1.55978,0.01443,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
