epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6047,0.84478,2.51584,1.21548,0.67936,0.66457,0.70706,0.57382,0.65931,1.30413,1.08132,0.000255437,0.000255437,0.000255437
2,113.867,0.76083,1.69008,1.12264,0.74306,0.67483,0.74832,0.58529,0.7183,1.32769,1.16383,0.000501637,0.000501637,0.000501637
3,174.963,0.76275,1.48346,1.12201,0.73485,0.69403,0.77481,0.62193,0.72077,1.16739,1.12681,0.000737687,0.000737687,0.000737687
4,224.109,0.76511,1.3304,1.1165,0.76193,0.74177,0.80874,0.66201,0.68841,1.05389,1.06942,0.000723321,0.000723321,0.000723321
5,270.97,0.74164,1.21726,1.10451,0.83543,0.73987,0.83634,0.68396,0.6758,0.93678,1.07626,0.000708095,0.000708095,0.000708095
6,322.748,0.72331,1.12779,1.09105,0.81579,0.75562,0.83493,0.696,0.64799,0.9038,1.04744,0.000692869,0.000692869,0.000692869
7,375.997,0.69462,1.04532,1.07444,0.83198,0.76115,0.872,0.73828,0.60255,0.86824,1.01336,0.000677643,0.000677643,0.000677643
8,431.789,0.67497,0.99283,1.06067,0.86415,0.79676,0.89173,0.74839,0.60044,0.74592,1.01996,0.000662417,0.000662417,0.000662417
9,502.508,0.67575,0.95459,1.05975,0.84695,0.77686,0.85861,0.72641,0.58353,0.78891,0.99741,0.00064719,0.00064719,0.00064719
10,574.508,0.64921,0.90024,1.04746,0.88784,0.81429,0.90458,0.78155,0.55212,0.66917,0.98297,0.000631964,0.000631964,0.000631964
11,644.449,0.64726,0.87605,1.04495,0.87874,0.81294,0.90029,0.78323,0.54096,0.648,0.97114,0.000616738,0.000616738,0.000616738
12,710.324,0.62282,0.82784,1.03288,0.87527,0.82816,0.9084,0.78688,0.53508,0.61917,0.95903,0.000601512,0.000601512,0.000601512
13,777.336,0.6287,0.8308,1.03507,0.88911,0.8272,0.91876,0.79529,0.54762,0.62296,0.97481,0.000586286,0.000586286,0.000586286
14,829.531,0.6186,0.78983,1.02809,0.88528,0.79986,0.90575,0.78613,0.53554,0.63522,0.96883,0.000571059,0.000571059,0.000571059
15,879.738,0.60036,0.76878,1.02008,0.88524,0.81395,0.91317,0.79776,0.52837,0.61004,0.95596,0.000555833,0.000555833,0.000555833
16,929.893,0.60475,0.75708,1.02256,0.88975,0.85893,0.92955,0.81051,0.52031,0.56024,0.95148,0.000540607,0.000540607,0.000540607
17,986.05,0.59571,0.72975,1.01574,0.91496,0.84076,0.93278,0.81762,0.50684,0.5373,0.94261,0.000525381,0.000525381,0.000525381
18,1041.61,0.58405,0.70487,1.00753,0.90689,0.85056,0.93414,0.81845,0.50648,0.52314,0.94334,0.000510155,0.000510155,0.000510155
19,1093.81,0.57662,0.69887,1.0046,0.89444,0.84415,0.92297,0.80967,0.50192,0.55219,0.94305,0.000494928,0.000494928,0.000494928
20,1150.13,0.57725,0.68732,1.00019,0.90167,0.84118,0.92891,0.81832,0.50059,0.54156,0.94438,0.000479702,0.000479702,0.000479702
21,1203.39,0.57476,0.66895,1.00265,0.88189,0.86541,0.93071,0.8159,0.5172,0.53489,0.94788,0.000464476,0.000464476,0.000464476
22,1258.72,0.56489,0.67193,0.99816,0.90825,0.87283,0.93744,0.83055,0.48712,0.49885,0.93423,0.00044925,0.00044925,0.00044925
23,1309.89,0.55653,0.63893,0.99599,0.91638,0.86203,0.94082,0.83485,0.4801,0.4916,0.92591,0.000434024,0.000434024,0.000434024
24,1364.05,0.54845,0.61293,0.9848,0.90872,0.86487,0.93401,0.82756,0.49048,0.5088,0.94138,0.000418797,0.000418797,0.000418797
